[-23117.244]
[-13283.947]
[-12011.0205]
[-9469.714]
[-24803.75]
[-14026.87]
[-13055.683]
[-10046.75]
[-12573.494]
[-20833.111]
[-13710.866]
[-16166.668]
[-16254.025]
[-23001.65]
[-19227.29]
[-16202.287]
[-17873.846]
[-13961.549]
[-11373.5]
[-15716.071]
[-12816.411]
[-16092.369]
[-9355.699]
[-13416.523]
[-18365.414]
[-12521.856]
[-13060.713]
[-10582.564]
[-16551.266]
[-10157.49]
[-12914.535]
[-11875.111]
[-7910.275]
[-11324.518]
[-10074.709]
[-9097.82]
[-4478.7744]
[-10627.711]
[-4895.3105]
[-9959.724]
[-10643.664]
[-14750.46]
[-9898.379]
[-7837.333]
[-8183.373]
[-11349.922]
[-7409.608]
[-15103.778]
[-7834.891]
[-8471.302]
[-11093.925]
[-7440.8247]
[-10114.237]
[-7668.7]
[-8959.969]
[-8275.808]
[-7390.4424]
[-6243.9263]
[-5626.5605]
[-6736.6147]
[-7633.1133]
[-7204.9805]
[-5243.1294]
[-7124.928]
[-7399.6934]
[-5506.4214]
[-7719.0054]
[-6798.444]
[-6682.866]
[-5451.86]
[-7756.116]
[-12209.755]
[-8263.861]
[-4401.7666]
[-6653.4976]
[-3460.703]
[-5945.7715]
[-2332.202]
[-3524.5144]
[-583.0855]
[-1677.0955]
[-3127.7207]
[-1583.4364]
[-1496.4421]
[-2662.2659]
[-1922.0582]
[-2136.3005]
[-2623.2969]
[-1634.4583]
[-1556.2225]
[925.51355]
[-1523.5872]
[-655.3286]
[-1379.1747]
[-1118.5902]
[-469.9927]
[601.53894]
[1350.832]
[1971.3566]
[-2426.6316]
[615.2664]
[-2903.688]
[-1916.663]
[-583.2694]
[2335.4866]
[104.28824]
[748.1009]
[2843.2578]
[-3452.5962]
[-2575.812]
[2646.6177]
[691.2818]
[498.39285]
[163.83424]
[-1727.4064]
[-3125.9258]
[3674.9202]
[33.22449]
[581.7066]
[1950.6888]
[127.66763]
[928.7317]
[-3454.4385]
[-190.1134]
[263.26083]
[1694.6545]
[-372.20657]
[-354.5564]
[-719.8523]
[1186.2535]
[338.52765]
[-433.89862]
[3004.3967]
[110.89672]
[2692.3857]
[310.30078]
[-254.24535]
[133.48093]
[2337.793]
[-424.40878]
[-1110.5554]
[-401.58774]
[539.43896]
[-3020.3413]
[-949.7434]
[56.682465]
[201.68477]
[943.95917]
