19.0,21.0,15.0,19.8
10.6,24.8,21.6,18.4
10.4,23.4,37.2,18.2
10.4,24.8,24.0,17.8
10.2,26.0,27.0,19.4
12.0,23.8,28.6,23.6
16.4,20.0,18.0,20.0
14.2,14.4,20.8,26.2
11.8,14.0,17.8,15.0
18.2,12.8,18.2,26.0
12.2,13.6,24.4,17.2
11.6,17.8,27.6,15.6
14.4,13.0,36.0,25.2
13.6,16.2,19.6,36.8
13.4,11.8,20.8,24.0
24.2,11.2,20.2,20.2
13.8,14.8,20.2,19.6
20.6,14.6,18.0,23.6
12.0,11.0,18.0,24.8
10.4,14.4,29.8,19.0
12.4,16.8,21.0,31.2
11.8,9.8,39.2,22.0
11.4,13.2,21.0,33.0
11.4,10.2,22.0,27.0
11.6,13.4,29.2,24.6
11.2,26.4,18.2,18.2
11.8,15.0,20.4,23.0
12.0,16.0,21.2,24.2
11.6,12.0,17.4,32.2
12.4,18.0,17.8,24.4
11.0,10.6,28.6,18.4
10.2,13.4,26.4,22.8
11.4,12.4,18.4,16.4
10.8,14.2,20.6,20.2
10.4,14.4,20.0,22.4
10.6,13.0,19.0,21.6
9.8,10.2,19.8,21.4
9.0,18.6,25.6,21.0
9.4,12.4,28.4,28.0
8.8,14.2,26.0,20.0
9.8,15.6,37.2,17.8
9.4,13.2,17.4,18.6
9.8,13.0,20.2,18.6
9.6,12.2,16.6,32.6
9.2,11.6,23.0,26.0
9.8,11.0,18.2,23.6
9.6,11.8,32.2,24.6
9.2,13.6,23.6,16.0
9.8,13.6,25.6,21.6
9.6,11.2,27.4,19.0
