,lr=0.000977,lr=0.001953,lr=0.003906,lr=0.007812,lr=0.015625,lr=0.031250,lr=0.062500,lr=0.125000
bs= 2,161.6118236,128.4008016,70.68056112,41.68597194,31.69819639,39.08517034,31.38657315,130.9765531
bs= 4,166.8388778,150.4773547,96.09839679,57.87054108,35.6258517,21.36973948,31.13807615,56.01563126
bs= 8,172.0737374,159.5349495,138.7658586,87.05272727,49.74868687,31.00121212,22.82424242,26.44565657
bs=16,173.5422222,169.7721212,159.0149495,139.0105051,84.29373737,50.96222222,35.29070707,25.45292929
bs=32,174.74238,172.9048017,169.1670146,161.0421712,142.0085595,91.29728601,59.28037578,35.68434238
bs=64,176.6675615,175.7982103,174.0897092,170.0888143,161.4861298,148.2970917,116.3440716,71.59373602
