22.6,16.6,30.4,24.0
17.8,17.6,20.6,16.8
10.4,19.8,24.6,15.4
9.4,25.2,12.0,28.8
9.2,20.4,26.2,14.6
8.8,19.0,17.0,19.6
9.2,18.8,21.0,31.4
9.6,15.0,17.8,22.4
9.2,16.2,18.2,22.4
9.4,16.0,20.6,24.2
9.0,12.8,23.8,18.0
9.4,20.6,16.6,19.6
8.8,14.6,36.8,18.6
9.4,26.4,22.8,29.4
9.4,20.8,30.0,13.6
9.0,21.0,24.8,18.2
9.2,15.2,19.4,31.6
9.6,17.2,24.6,22.0
9.0,13.2,18.8,20.6
10.0,15.0,18.2,27.8
9.0,24.8,23.0,24.4
9.6,14.0,49.0,20.6
9.4,17.2,23.4,22.6
9.8,16.0,27.0,30.6
10.0,15.4,23.8,21.8
9.8,13.2,17.8,16.6
9.2,14.4,25.2,30.6
8.8,24.0,29.8,17.4
9.6,16.8,17.8,21.4
9.4,20.0,22.0,17.6
9.6,13.8,18.4,26.4
9.0,14.0,21.8,20.0
9.0,13.4,21.8,15.6
9.2,18.4,23.2,22.8
10.0,20.0,24.4,20.6
9.6,23.6,17.2,26.0
8.6,15.0,17.0,21.0
9.4,14.0,18.6,23.4
9.6,17.2,25.0,18.6
9.6,17.0,32.2,15.2
9.2,16.8,22.8,20.4
9.2,16.8,16.6,17.2
9.6,22.2,18.0,21.8
9.4,30.2,24.0,20.2
9.4,15.4,21.2,19.2
9.6,17.2,21.2,16.2
9.4,24.2,19.6,21.0
9.6,16.4,27.4,26.2
9.0,15.6,20.4,14.8
9.6,21.0,16.4,14.0
9.4,12.6,15.8,23.0
9.8,14.4,15.4,18.8
9.0,18.4,14.4,16.0
9.6,19.6,14.4,20.4
9.4,18.6,17.4,22.0
9.0,13.8,26.8,22.4
10.0,17.4,17.8,26.8
9.0,17.6,21.0,28.8
9.6,22.4,22.6,26.2
9.4,15.0,20.6,13.8
9.6,14.6,23.8,17.2
9.4,22.8,21.6,14.2
9.6,14.6,14.4,15.6
9.4,14.2,20.8,16.8
9.0,22.4,27.0,24.6
9.4,17.0,22.2,20.8
9.2,14.8,23.4,18.6
9.6,22.8,17.6,23.0
9.6,20.0,20.4,23.8
9.8,21.8,23.6,19.4
9.4,28.4,27.4,19.4
9.2,19.2,19.2,18.0
9.4,22.2,16.6,20.0
9.4,17.6,29.6,18.4
9.6,18.2,25.6,32.2
9.0,18.2,20.2,32.2
9.4,15.4,18.6,18.0
9.4,20.6,19.6,20.8
8.6,13.6,17.6,22.4
8.6,15.8,27.4,17.8
9.4,16.2,17.4,24.0
9.0,15.0,28.4,22.4
9.2,19.8,29.2,19.2
9.4,22.6,29.0,16.2
10.0,19.8,17.8,25.4
8.4,11.6,16.0,20.6
9.8,31.0,18.2,21.4
9.4,20.8,18.8,17.4
9.4,16.4,20.4,30.2
9.8,21.6,21.2,22.8
8.8,16.4,21.8,22.8
9.0,20.4,26.0,17.2
9.0,20.8,25.8,36.2
9.6,19.8,18.8,14.8
9.2,17.8,21.8,17.8
9.6,22.8,29.0,20.2
9.8,16.0,22.6,12.8
9.4,18.2,17.2,16.2
9.4,17.2,22.0,21.2
9.4,21.4,26.4,28.6
8.8,21.2,22.6,19.4
9.6,20.8,12.8,16.6
9.0,23.2,29.0,22.0
9.4,24.0,21.0,18.0
9.8,13.4,30.8,16.4
9.4,22.6,30.0,18.2
10.0,13.4,26.8,16.8
9.6,19.0,17.8,21.2
9.8,18.6,24.0,21.4
9.8,14.4,14.2,24.6
8.8,14.2,30.2,24.6
9.6,19.6,22.6,16.4
9.0,13.2,17.4,16.0
9.6,14.4,18.8,22.8
9.6,16.2,20.6,21.6
9.6,23.0,21.0,20.2
9.6,16.8,23.8,17.8
9.6,25.0,29.4,21.6
9.6,23.0,25.0,22.4
9.8,15.2,20.0,24.2
9.4,15.4,17.6,23.6
9.2,18.6,25.4,21.6
9.8,18.4,16.8,19.0
9.4,16.8,21.6,27.2
9.0,21.4,18.4,17.2
9.6,28.2,15.8,23.0
9.6,16.0,23.0,37.4
9.4,27.2,23.4,18.8
9.2,16.0,18.8,23.4
9.2,23.8,25.6,14.6
8.8,34.0,25.0,21.4
9.6,21.4,25.2,21.6
9.4,32.8,19.6,26.0
9.6,18.8,25.8,26.0
9.4,22.2,16.6,19.2
10.0,22.0,26.6,16.0
9.0,20.4,25.8,17.0
9.8,19.8,17.0,21.2
10.2,29.0,27.2,15.4
9.4,32.6,16.6,17.4
9.0,19.4,20.2,20.2
9.0,18.0,23.6,21.6
9.6,25.2,25.2,16.0
9.4,38.8,20.2,21.0
9.6,19.4,27.8,25.0
9.6,33.6,30.4,19.8
9.2,29.6,21.4,22.2
9.0,33.8,17.8,18.0
9.2,19.6,14.6,26.4
8.8,30.8,16.0,38.6
9.4,16.2,23.8,25.4
9.8,28.6,26.0,22.0
9.2,35.8,14.6,13.2
9.6,47.4,23.4,19.0
9.4,26.8,28.2,21.2
9.8,21.0,19.0,20.8
9.2,19.6,22.8,15.6
9.4,26.0,20.4,17.2
9.4,28.2,26.6,23.8
9.6,24.8,23.2,17.2
9.4,23.6,19.8,23.0
9.2,24.0,20.6,25.0
9.4,16.8,27.2,19.6
9.4,22.6,20.8,18.0
9.0,36.0,23.4,24.8
9.4,40.2,32.6,19.0
9.2,22.2,17.8,22.0
9.0,35.2,22.0,17.6
9.6,26.8,24.4,17.8
9.6,28.2,24.4,18.2
9.8,53.8,29.2,15.6
9.6,31.2,22.2,21.8
9.4,30.6,22.8,19.8
9.2,23.8,18.4,18.4
9.4,31.6,27.4,17.6
9.6,32.6,21.2,18.8
9.6,32.0,18.2,22.6
9.2,27.0,19.2,18.0
9.4,25.2,18.2,21.8
9.0,24.6,14.8,15.2
9.8,24.8,22.8,18.6
9.6,24.2,20.0,24.4
9.2,26.0,26.4,20.8
9.6,23.2,21.2,23.2
9.8,28.6,31.6,22.4
9.6,31.4,23.8,23.8
9.2,27.2,20.6,21.0
9.0,23.2,29.6,23.2
9.4,25.8,23.4,24.6
9.4,32.2,36.2,23.8
9.8,27.0,22.8,27.0
8.6,30.0,22.4,25.0
9.2,19.4,25.4,26.8
9.4,17.8,29.6,17.2
9.2,21.6,25.4,18.0
9.4,23.4,24.8,16.6
9.6,21.2,18.8,22.0
9.0,16.0,21.0,20.6
9.4,18.6,19.4,21.0
9.2,25.6,14.0,17.2
9.4,21.6,22.6,14.4
9.6,23.0,15.4,22.2
9.0,26.4,18.2,18.6
9.6,15.2,28.2,12.6
9.6,18.6,30.2,19.2
9.4,29.4,31.4,22.0
8.8,19.4,15.0,17.4
8.8,25.8,30.4,30.4
9.8,31.0,33.8,22.0
9.2,24.8,27.6,17.2
9.4,36.8,18.0,17.2
9.4,27.0,41.6,23.4
9.6,46.8,16.8,18.4
9.8,29.4,25.6,14.2
9.8,26.2,20.8,34.8
9.2,36.8,26.4,19.8
9.4,29.8,25.0,15.2
9.6,20.8,18.6,17.0
9.2,27.8,37.0,24.2
9.0,20.2,15.6,18.0
9.4,36.0,27.4,16.0
10.0,30.2,19.6,21.0
9.0,26.4,23.2,19.0
9.2,27.4,15.2,23.4
9.4,27.4,26.0,21.6
9.4,26.4,27.2,24.2
9.6,23.8,16.2,21.8
9.6,30.2,19.2,28.6
9.2,28.6,25.8,25.6
9.0,30.0,26.8,15.8
8.8,31.4,26.0,19.2
9.4,23.4,33.2,21.2
9.4,30.0,31.4,28.0
9.6,23.4,45.0,17.6
9.8,36.6,27.8,18.0
9.0,32.8,22.8,25.0
9.2,29.6,30.4,24.6
8.8,28.6,16.4,15.6
9.6,34.0,25.4,20.4
9.6,31.8,22.4,22.2
9.2,28.0,25.0,20.6
9.0,33.8,29.0,17.6
9.2,26.0,33.8,22.6
9.2,41.6,25.6,18.6
8.6,45.2,25.0,22.4
9.6,36.8,28.8,23.0
9.6,46.0,20.4,16.8
9.4,44.0,39.8,26.0
9.6,32.6,24.8,34.2
9.6,52.8,16.8,24.8
9.4,30.4,33.6,19.4
9.4,40.0,26.0,23.6
8.8,35.0,24.8,18.8
9.2,34.0,27.4,15.4
9.0,32.0,44.6,17.6
9.2,53.2,22.6,17.0
8.8,53.4,30.6,21.2
9.4,36.0,32.0,18.2
9.0,45.6,21.2,29.8
9.2,47.0,24.8,21.8
9.2,51.2,31.0,21.6
