21.6,32.0,29.2,35.8
14.0,13.8,18.8,21.4
24.2,25.8,24.0,16.2
21.0,23.4,26.2,23.6
11.6,19.6,22.6,23.4
10.0,12.8,29.0,22.2
12.0,21.2,18.0,19.6
27.0,21.8,24.4,15.8
19.4,22.8,29.2,27.6
16.0,20.6,23.0,18.8
15.2,21.6,14.2,18.8
17.0,15.8,22.6,18.8
16.2,18.6,23.2,18.4
13.0,24.0,28.4,19.6
12.0,21.0,18.8,29.0
11.0,23.8,17.0,21.2
10.8,20.4,22.0,20.8
10.8,28.0,15.2,18.6
10.0,26.8,20.8,17.6
10.2,24.2,21.2,16.4
9.0,19.6,16.4,39.8
9.6,15.4,16.6,27.8
9.8,13.2,19.0,18.8
9.2,20.2,30.0,29.8
9.4,20.0,26.4,29.0
9.6,19.4,18.8,19.6
9.4,20.2,21.2,19.8
9.0,22.0,19.2,17.4
9.4,12.6,34.6,15.8
9.2,28.6,18.8,26.8
9.2,21.6,18.8,17.8
10.2,16.0,22.4,19.0
8.8,14.4,18.4,34.8
9.8,17.2,32.6,22.0
9.0,17.4,19.2,14.8
9.6,14.2,33.0,20.6
9.6,18.4,22.8,18.0
9.2,13.8,17.2,15.8
9.2,13.2,26.6,21.0
9.2,19.8,22.2,22.4
9.4,23.2,24.8,23.0
9.4,17.6,20.0,17.4
10.0,20.8,22.8,16.8
8.8,22.4,23.0,13.6
9.2,19.6,22.4,35.0
9.4,14.8,19.4,27.8
10.0,16.0,22.8,24.4
9.6,15.8,28.2,16.4
9.2,16.6,17.0,32.0
9.8,16.8,20.4,26.2
9.8,25.0,26.6,23.8
9.0,26.4,20.2,26.6
9.0,14.0,23.6,22.8
8.4,19.8,20.2,19.2
9.0,25.6,17.2,18.6
9.8,15.8,17.0,18.4
9.6,14.2,18.0,13.0
9.4,16.8,30.6,22.4
9.4,12.4,16.8,17.0
9.4,22.2,13.8,30.2
9.4,23.0,20.2,32.4
9.4,21.4,28.8,23.2
9.2,17.2,28.4,20.2
9.0,18.0,19.2,25.0
9.4,14.4,35.2,31.2
9.4,19.0,17.4,23.6
9.4,16.0,24.4,26.4
9.2,13.8,16.8,15.8
9.2,19.4,21.8,14.4
9.2,19.8,16.2,18.0
9.4,24.0,20.2,19.0
9.0,17.2,16.6,13.0
9.4,24.2,17.8,23.0
9.6,21.8,18.4,20.4
9.4,18.4,12.0,29.0
9.0,16.6,19.0,33.8
9.8,17.8,23.6,15.4
9.4,20.4,15.8,20.4
9.2,18.6,22.0,24.6
9.8,16.2,18.2,26.8
9.2,11.4,13.0,19.8
9.4,21.6,23.2,22.2
9.0,19.6,16.6,16.0
9.6,14.8,22.6,19.0
9.8,23.8,25.6,17.4
9.8,18.6,21.2,18.0
8.8,18.4,17.6,20.0
9.8,18.0,27.6,20.2
9.6,23.0,17.6,19.6
9.8,16.8,20.2,22.8
8.6,21.6,14.4,35.8
9.6,18.0,19.4,24.2
9.0,23.8,25.6,20.0
8.8,19.8,19.2,17.4
9.6,20.8,26.0,25.2
9.2,19.6,19.0,19.4
9.6,24.0,21.8,23.0
10.2,19.2,20.4,13.8
9.6,19.4,15.2,17.0
9.4,27.8,22.2,20.4
9.6,15.2,27.8,20.6
9.4,18.4,17.8,18.8
9.4,21.2,16.8,24.4
9.4,17.4,23.2,25.6
9.2,27.4,23.2,28.2
9.6,13.8,19.8,18.6
9.6,16.8,20.2,26.8
9.4,24.0,21.0,27.6
8.6,17.2,22.8,21.4
9.6,18.2,17.8,21.2
9.2,18.0,16.8,14.2
9.4,28.6,24.8,26.0
9.2,20.2,23.0,27.4
10.2,13.8,26.4,30.0
9.6,18.0,24.0,21.2
9.8,22.2,15.6,16.2
9.8,28.0,18.2,29.8
9.2,16.4,17.2,18.8
9.0,21.8,19.4,19.8
9.8,15.0,14.6,15.0
9.4,14.2,22.0,13.6
9.2,22.8,21.0,21.0
9.0,23.4,23.2,20.2
9.2,15.6,21.8,24.0
9.4,15.6,29.0,22.4
9.2,34.8,35.0,14.0
9.0,14.4,13.2,25.6
8.8,28.4,16.6,17.6
9.6,23.4,18.4,19.2
9.0,16.4,26.8,22.6
9.2,14.2,26.8,18.0
